load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
118,128,199,9.355672557921531,0,1:199
118,128,202,9.355672557921531,0,1:199
125,128,205,9.024947943546135,0,1:199
125,128,208,7.984508882069985,0,1:199
125,128,210,7.786591785202578,0,1:199
131,128,213,6.230216708689429,5.159618523821778,1:199
131,128,216,6.230216708689429,7.833888316867604,1:199
137,128,219,4.818065656989887,8.933268717721786,1:199
137,128,221,4.818065656989887,8.933268717721788,1:199
137,128,224,3.5137007410009127,6.1212049717484405,1:199
137,128,227,3.5137007410009127,7.2758745249128705,1:199
137,128,229,2.434138618575366,8.270523091809862,1:199
143,128,232,2.159728145002757,9.388933995568802,1:199
143,128,235,2.3828491081506513,10.432193290082521,1:199
143,128,238,2.3713841772794773,10.706538578546077,1:199
143,128,240,2.408401426262388,12.201533205078519,1:199
143,128,243,2.385888580642507,12.19296511750839,1:199
143,128,246,2.385888580642507,12.19296511750839,1:199
150,128,249,2.411596183765768,12.081627736044462,1:199
150,128,252,2.411596183765768,12.081627736044462,1:199
150,128,255,2.496350999657182,12.144257289886713,1:199
156,128,257,2.588358713139668,10.83490394974876,1:199
156,128,260,2.584887630133014,12.196973517366935,1:199
143,128,262,2.2780211251179168,10.53361488268794,1:199
143,128,264,3.0655438474876853,11.727056840580293,1:199
137,128,267,3.197536854706316,9.129029155041671,1:199
137,128,269,4.324080946583292,8.860267701431576,1:199
137,128,271,3.8987066902647376,8.860267701431576,1:199
137,128,274,5.91836145561471,6.7826397066305635,1:199
137,128,276,5.9183614556147095,6.7826397066305635,1:199
131,128,278,7.4531487359833655,4.5712337613219916,1:199
131,128,281,7.4531487359833655,4.139221227956508,1:199
125,128,283,8.643571675704601,2.1690701268415946,1:199
125,128,286,8.643571675704601,0,1:199
118,128,288,9.791304674376871,0,1:199
118,128,291,9.791304674376871,0,1:199
118,128,293,9.43606658312858,0,1:199
118,128,296,9.436066583128584,0,1:199
125,128,299,7.931698869760539,0,1:199
125,128,302,7.399316554121502,0,1:199
131,128,305,6.565242184388624,0,1:199
137,128,308,5.098411556188519,0,1:199
137,128,311,5.1147288243540086,0,1:199
137,128,314,3.593882526519949,0,1:199
137,128,316,3.593882526519949,0,1:199
137,128,319,2.566216356932733,3.4840348249654234,1:199
137,128,322,2.566216356932733,2.988303669999998,1:199
150,128,324,2.5550517067327383,5.89862654357811,1:199
143,128,327,2.2982519765280536,5.585357517299997,1:199
143,128,330,2.4970888592670413,8.38487716416429,1:199
150,128,333,2.5573417556764797,9.605114528509919,1:199
150,128,336,2.5573417556764797,10.777969685155673,1:199
150,128,339,2.507260512786596,12.479852878318026,1:199
150,128,341,2.507260512786596,12.479852878318027,1:199
156,128,344,2.5227879039270693,12.394348560357312,1:199
156,128,347,2.5227879039270693,10.81485072978522,1:199
156,128,350,2.414192687649648,12.217629678701352,1:199
150,128,352,2.4277901605123624,10.79881299537332,1:199
150,128,354,2.921896513949114,11.836981719579159,1:199
143,128,357,3.024235259475654,9.116088787291662,1:199
143,128,359,4.323129916541234,9.20236092092534,1:199
