load_perc,portal_shares,portal_cpu_usage,stress_cpu_uasge,job_exec_time
137,128,2.388660273106716,12.290162505801407,1:146
143,128,2.2489952544039484,12.392440453510234,1:146
143,128,2.2489952544039475,12.392440453510234,1:146
143,128,2.2410630062621824,12.445642540349855,1:146
143,128,2.2410630062621824,12.445642540349855,1:146
143,128,2.2352227407407406,12.453535921355138,1:146
143,128,2.1172802196769056,12.453535921355135,1:146
143,128,2.2217917758472963,12.502836495965758,1:146
150,128,2.2217917758472963,12.502512424669968,1:146
150,128,2.225217764311188,12.505521557183373,1:146
150,128,2.1149898307743573,11.748837821649184,1:146
150,128,2.227606205491292,12.476212211052479,1:146
156,128,2.215401305410314,12.464840745072772,1:146
156,128,2.215401305410314,12.464840745072772,1:146
143,128,2.5001055932776457,11.634597612577737,1:146
143,128,2.5001055932776457,11.634597612577737,1:146
137,128,2.541584066815233,10.92471028850877,1:146
137,128,2.9189867108199206,10.696963971997372,1:146
131,128,2.9678364807167443,9.987082648525401,1:146
131,128,3.3246138420693985,9.385122061341098,1:146
118,128,3.4317317628525346,9.385122061341098,1:146
118,128,3.672628015879058,8.355688175408838,1:146
118,128,3.6726280158790576,8.011349431539255,1:146
118,128,4.102680944316587,7.3027218597718155,1:146
112,128,4.102680944316587,6.972757042204222,1:146
112,128,4.500984313050526,5.8492413076642595,1:146
112,128,4.500984313050526,5.8492413076642595,1:146
112,128,4.704024302635963,5.285230573795837,1:146
112,128,4.858747142350813,4.883475973908153,1:146
106,128,5.179825877001999,3.9553162034300096,1:146
106,128,5.28977563117086,3.7852230177209343,1:146
100,128,4.999683534076293,3.615575296487744,1:146
100,128,5.681463002987032,2.736619446757999,1:146
93,128,5.681463002987032,2.601581004940383,1:146
93,128,6.046230739885127,1.2883169644877612,1:146
87,128,6.046230739885127,1.2883169644877612,1:146
87,128,6.461031624687638,0.34234091501259056,1:146
87,128,6.461031624687638,0.34234091501259056,1:146
87,128,6.541242349493086,0,1:146
87,128,6.541242349493086,0,1:146
87,128,6.142426602673757,0,1:146
87,128,6.5481400136194505,0,1:146
81,128,6.5481400136194505,0,1:146
81,1024,6.523565713871535,0,1:146
81,1024,6.171303049512947,0,1:146
81,1024,6.5074302977398855,0,1:146
81,1024,6.5074302977398855,0,1:146
81,1024,6.473724165190918,0,2:113
81,1024,6.473724165190919,0,2:113
75,1024,6.477517165961945,0,2:113
75,1024,6.477517165961945,0,2:113
75,1024,6.477517165961945,0,2:113
75,1024,6.461691128279778,0,2:113
68,1024,6.453026012834832,0,2:113
68,1024,6.471565768892322,0,2:113
68,1024,6.456745643211455,0,2:113
68,1024,6.469456230800028,0,2:113
62,1024,6.469456230800028,0,2:113
62,1024,6.487233830064998,0,2:113
62,1024,6.487233830064998,0,2:113
62,1024,6.515178543707833,0,2:113
62,1024,6.515178543707833,0,2:113
62,1024,6.523742304990067,0,2:113
62,1024,6.534295532172855,0,2:113
62,1024,6.524713731698449,0,2:113
62,1024,6.525147450407759,0,2:113
68,1024,6.525147450407759,0,2:113
68,1024,6.355995870286843,0,2:113
75,1024,6.118296234245692,0,2:113
75,1024,6.118296234245692,0,2:113
87,1024,5.903427664688107,0,2:113
87,1024,5.903427664688107,0,2:113
87,1024,5.658675330952689,0,2:113
93,1024,5.658675330952687,0,2:113
93,128,5.434609347978975,0,2:113
100,128,5.123206232339781,0,2:113
100,128,4.999566951135197,6.499211246962344,2:113
106,128,4.8431224622151055,6.499211246962344,2:113
106,128,4.634487594622898,7.078605182475174,2:113
112,128,4.267872688090942,7.850939143255815,2:113
112,128,4.267872688090942,8.723861171100362,2:113
112,128,3.8461310846031225,9.101370114303274,2:113
112,128,3.628381790501182,11.31956321056655,2:113
112,128,3.440415933112571,11.442691852953423,2:113
118,128,2.976395203993799,11.442691852953423,2:113
118,128,3.058307810509205,11.551818143953971,2:113
118,128,2.740765177764545,6.933355760948536,2:113
118,128,2.840450889127958,7.509577188146369,2:113
131,128,2.6967375772634705,8.086414178994206,2:113
131,128,2.6967375772634705,8.70070636225241,2:113
